Anio;Codigo_Biblioteca_REBIUN;Biblioteca;Eje;Nombre_Eje;Apartado;Nombre_Apartado;Codigo_REBIUN;Codigo_Tecnico;Indicador;Valor
2020;31;IE Universidad;2;Recursos Humanos;2.2;Cursos de formación;2.2.2;NASISTCURSO;Número de asistentes;11
2020;31;IE Universidad;2;Recursos Humanos;2.2;Cursos de formación;2.2.3;NCURSIMPART;Número de cursos impartidos;176
2020;31;IE Universidad;2;Recursos Humanos;2.2;Cursos de formación;2.2.4;NHORASCURSO;Número de horas de cursos recibidos por el personal;584.15
2020;31;IE Universidad;3;Locales;3.1;Número de bibliotecas;3.1;NBIBLIOS;Número de bibliotecas;2
2020;31;IE Universidad;3;Locales;3.2;Superficie (metros cuadrados);3.2;NMETROSBIB;Superficie total(m2 construidos);648
2020;31;IE Universidad;3;Locales;3.3;Puestos de lectura;3.3;NPUESTOSLECT;Puestos de lectura;420
2020;31;IE Universidad;3;Locales;3.3;Puestos de lectura;3.3.1;NPUESTOSIND;Puestos individuales;256
2020;31;IE Universidad;3;Locales;3.3;Puestos de lectura;3.3.2;NSALASCOLECT;Puestos en salas colectivas;164
2020;31;IE Universidad;3;Locales;3.3;Puestos de lectura;3.3.3;NSALASGRUPO;Puestos en salas para trabajo en grupo;0
2020;31;IE Universidad;3;Locales;3.3;Puestos de lectura;3.3.4;NPUESTOSDISCAP;Puestos equipados para personas con discapacidad;164
2020;31;IE Universidad;3;Locales;3.4;Estanterías (metros lineales);3.4;NESTANTES;Estanterías;2305.94
2020;31;IE Universidad;3;Locales;3.4;Estanterías (metros lineales);3.4.1;NESTLIBREACC;Estanterías libre acceso;2260.94
2020;31;IE Universidad;3;Locales;3.4;Estanterías (metros lineales);3.4.2;NESTDEPOSITO;Estanterías depósito;45
2020;31;IE Universidad;4;Equipamiento;4.1;Parque informático para uso público;4.1;NPCPUBLICO;Parque informático para uso público;19
2020;31;IE Universidad;4;Equipamiento;4.2;Máquinas de autopréstamo/autodevolución;4.2;NMAQAUTO;Máquinas de autopréstamo/autodevolución;6
2020;31;IE Universidad;5;Colecciones;5.1;Monografías en papel;5.1.1;NTITMONOGPAP;Títulos de monografías en papel;57600
2020;31;IE Universidad;5;Colecciones;5.1;Monografías en papel;5.1.2;NITEMPAPINFOR;Ítems de monografías en papel informatizados;3300000
2020;31;IE Universidad;5;Colecciones;5.1;Monografías en papel;5.1.3;NMONPAPINGRES;Ítems de monografías en papel ingresados e informatizados durante el año en curso;1806
2020;31;IE Universidad;5;Colecciones;5.1;Monografías en papel;5.1.3.1;NMONPCOMPRA;Por compra;1400
